Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"You, Zhonghui",57224725147,1,"Computer Science
Engineering
",,
"Yorke, Malcolm",57190481412,3,"Arts and Humanities
Social Sciences
Psychology
",,
"Yongqing Fu, Richard",57208111046,1,"Engineering
Chemical Engineering
Energy
",,
"Yong, Yik Fong",57195316718,1,"Engineering
Materials Science
",,
"Yong, Jose C.",55290770800,37,"Psychology
Medicine
Multidisciplinary
Social Sciences
Agricultural and Biological Sciences
Computer Science
Arts and Humanities
Neuroscience
Business, Management and Accounting
Nursing
Engineering
Biochemistry, Genetics and Molecular Biology
",,
"Yong, Jose C.",57557607400,3,"Psychology
Social Sciences
Agricultural and Biological Sciences
",,
"Yong, Jose C.",57556417800,1,"Social Sciences
Arts and Humanities
Psychology
",,
"Yokar, Vaigai Nayaki",57940201300,1,"Physics and Astronomy
Computer Science
Engineering
",,
"Yew, Wen Chyin",57220191246,24,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Physics and Astronomy
Chemistry
Agricultural and Biological Sciences
Materials Science
",,
"Yeoman, Ruth",56426887200,17,"Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
Arts and Humanities
Environmental Science
Psychology
",0000-0002-9303-1003,
"Yeoman, Peter",6701851590,7,"Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
",,
"Yee, Joyce S.R.",22837276400,21,"Computer Science
Social Sciences
Arts and Humanities
Engineering
Multidisciplinary
Mathematics
",0000-0002-1188-3916,
"Yawar, Sadaat Ali",56685877000,8,"Business, Management and Accounting
Environmental Science
Economics, Econometrics and Finance
Engineering
Arts and Humanities
Energy
Social Sciences
Decision Sciences
",0000-0001-8783-7943,
"Yau, Mandy Ching Man",57767020200,1,"Chemistry
Chemical Engineering
",,
"Yaseen, Jonathan",55618642800,3,"Nursing
Medicine
Social Sciences
",,
"Yarde, Michael",58104567500,1,"Social Sciences
",,
"Yang, Yupei",57223177173,3,"Physics and Astronomy
Engineering
",,
"Yang, Xiaotong",57194152085,1,"Business, Management and Accounting
",,
"Yang, Qian",36437861200,3,"Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
",,
"Yang, Longzhi",35199129500,134,"Computer Science
Mathematics
Engineering
Decision Sciences
Materials Science
Social Sciences
Medicine
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Energy
Neuroscience
Environmental Science
Chemistry
Chemical Engineering
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Health Professions
",0000-0003-2115-4909,
"Yang, Longzhi",57965379600,2,"Engineering
Mathematics
Materials Science
Computer Science
",,
"Yang, Liying",57362369900,1,"Engineering
Materials Science
Computer Science
",,
"Yang, Hua",57221186779,3,"Materials Science
Physics and Astronomy
Engineering
Chemistry
Computer Science
",,
"Yan, Zhangyin",57216843054,7,"Materials Science
Chemistry
Engineering
Physics and Astronomy
Chemical Engineering
",,
"Xu, Xinya",57200397405,7,"Engineering
Physics and Astronomy
Materials Science
Chemistry
Chemical Engineering
Computer Science
Energy
",,
"Xu, Na",57221029876,1,"Physics and Astronomy
Materials Science
",,
"Xu, Kai",57951578400,1,"Engineering
Decision Sciences
Computer Science
Mathematics
",,
"Xu, Bing",57211884300,1,"Engineering
Materials Science
",,
"Xu, Benbin",57780524200,9,"Materials Science
Environmental Science
Mathematics
Engineering
Medicine
Chemical Engineering
Chemistry
",,
"Xu, Benbin",58159064900,1,"Agricultural and Biological Sciences
",,
"Xu, Ben Bin",57208008466,166,"Materials Science
Engineering
Chemistry
Physics and Astronomy
Energy
Chemical Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Mathematics
Agricultural and Biological Sciences
Computer Science
Multidisciplinary
Social Sciences
",0000-0002-6747-2016,
"Xing, Lu",57224776112,36,"Engineering
Energy
Environmental Science
Chemical Engineering
Physics and Astronomy
Social Sciences
Computer Science
Economics, Econometrics and Finance
Medicine
Business, Management and Accounting
",0000-0002-5561-7417,
"Xing, Lu",57969646900,1,"Energy
Physics and Astronomy
",,
"Xie, Hailun",57210935119,5,"Computer Science
Physics and Astronomy
Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemistry
",,
"Xie, Hailun",57908007500,1,"Health Professions
Medicine
Nursing
",,
"Xiaoteng Liu, Terence",57201725328,7,"Physics and Astronomy
Chemical Engineering
Chemistry
Materials Science
Energy
Engineering
",,
"Xiao, Meng",57216898655,2,"Engineering
Computer Science
",,
"Xia, Qian",57205104138,8,"Physics and Astronomy
Earth and Planetary Sciences
",,
"Wynter, Trevor",57456894200,1,"Medicine
Social Sciences
",,
"Wynn, Graham A.",7004480159,85,"Earth and Planetary Sciences
Physics and Astronomy
",,
"Wynarczyk, Peter",6602423655,9,"Social Sciences
Economics, Econometrics and Finance
Engineering
Business, Management and Accounting
Arts and Humanities
",,
"Wylie, Belinda",57195425151,1,"Psychology
",,
"Wyatt, Tanya",37666609800,70,"Social Sciences
Environmental Science
Agricultural and Biological Sciences
Medicine
Psychology
Energy
Neuroscience
Veterinary
",0000-0002-5191-7607,
"Wyatt, Bethany",58284255900,1,"Social Sciences
",,
"Wu, Qiang",57204112534,75,"Physics and Astronomy
Materials Science
Engineering
Computer Science
Mathematics
Biochemistry, Genetics and Molecular Biology
Arts and Humanities
Medicine
Chemical Engineering
Social Sciences
Chemistry
",,
"Wu, Qiang",57921396900,4,"Physics and Astronomy
Engineering
Materials Science
",0000-0002-2901-7434,
"Wu, Hao",57198666656,1,"Energy
",,
"Wu, Haimeng",36086828700,35,"Engineering
Energy
Social Sciences
Materials Science
Mathematics
Physics and Astronomy
Environmental Science
Computer Science
",0000-0002-6613-9908,
"Wrigley, David",6603375499,1,"Engineering
",,
"Wright, Rebecca K.",57206781698,3,"Energy
Arts and Humanities
Social Sciences
",,
"Wright, Peter C.",7404315799,183,"Computer Science
Engineering
Social Sciences
Medicine
Mathematics
Psychology
Decision Sciences
Health Professions
Energy
Arts and Humanities
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Earth and Planetary Sciences
Environmental Science
Dentistry
Neuroscience
Nursing
Materials Science
Chemical Engineering
",,
"Wright, Julian",58001585000,1,"Arts and Humanities
",,
"Wright, Jennifer",57193069879,1,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Chemistry
",,
"Wright, Grahame A.",24502166900,2,"Economics, Econometrics and Finance
Social Sciences
",,
"Wright, G. A.",56980054400,1,"Computer Science
Social Sciences
",,
"Wright, Clive",58147583900,1,"Computer Science
",,
"Wright, Blythe",57199394745,2,"Medicine
Neuroscience
",,
"Wright, Anna",14635104300,1,"Chemistry
",,
"Wray, David",35915135200,16,"Social Sciences
Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
",,
"Wratten, Eleanor E.",57222303124,1,"Earth and Planetary Sciences
",,
"Wortley, Natalie",57813974200,19,"Social Sciences
Psychology
",,
"Worrall, Victoria",57219961272,1,"Psychology
Social Sciences
",,
"Wormwell, Louise",57190132129,1,"Social Sciences
",,
"Woolley, Nick",57208184739,2,"Earth and Planetary Sciences
Social Sciences
",0000-0002-6844-4017,
"Woolhead, G.",57194644281,1,"Medicine
",,
"Wooldridge, Richard",57193346297,2,"Engineering
Computer Science
",,
"Woodward, John",15823214600,82,"Earth and Planetary Sciences
Environmental Science
Engineering
Physics and Astronomy
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Social Sciences
Arts and Humanities
Materials Science
Immunology and Microbiology
Multidisciplinary
Chemistry
Mathematics
Medicine
Computer Science
",,
"Woodward, J.",57221925450,1,"Social Sciences
Computer Science
",,
"Woods, Roberta",57638845700,1,"Social Sciences
",,
"Woodley, Helen",57215604899,5,"Social Sciences
Medicine
Business, Management and Accounting
Nursing
",,
"Woodhouse, Roger",36798451900,2,"Social Sciences
",,
"Wood, Tiffany",57211576284,1,"Health Professions
Medicine
",,
"Wood, Oliver",57217494323,2,"Health Professions
",,
"Wood, Markku",57194018932,3,"Medicine
Psychology
Social Sciences
",,
"Wood, Harry",57292568100,1,"Environmental Science
",,
"Wood, Gavin",37053041700,37,"Computer Science
Social Sciences
Engineering
Psychology
Decision Sciences
Neuroscience
",,
"Wood, David J.",57208540362,2,"Physics and Astronomy
Materials Science
Chemistry
",,
"Wood, David",57677475500,6,"Engineering
Physics and Astronomy
Materials Science
Multidisciplinary
Chemical Engineering
",,
"Wood, Dave",57209281820,4,"Computer Science
Arts and Humanities
",,
"Wood, D.",7404401197,110,"Engineering
Materials Science
Physics and Astronomy
Chemistry
Computer Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Energy
Social Sciences
Multidisciplinary
Mathematics
Dentistry
",,
"Wood, B.",56958880000,3,"Economics, Econometrics and Finance
Mathematics
Social Sciences
",,
"Woo, Wailok",57573521300,21,"Computer Science
Engineering
Physics and Astronomy
Medicine
Biochemistry, Genetics and Molecular Biology
Chemistry
Earth and Planetary Sciences
Environmental Science
Mathematics
Decision Sciences
Agricultural and Biological Sciences
",,
"Woo, Wailok",57736380500,3,"Mathematics
Computer Science
Physics and Astronomy
Earth and Planetary Sciences
Environmental Science
Social Sciences
Engineering
Decision Sciences
",,
"Woo, Wai Lok",57760846200,1,"Medicine
Engineering
",0000-0002-8698-7605,
"Woo, W. L.",57474353600,1,"Computer Science
",,
"Wong, Rose",57204037748,2,"Mathematics
Engineering
Computer Science
",,
"Wong, Nicholas D.",57211983329,11,"Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
",,
"Wong, J. C.H.",7404436217,1,"Engineering
Agricultural and Biological Sciences
",,
"Wonders, Martin",56901377300,2,"Mathematics
Computer Science
Engineering
",,
"Wolfson, Sandy",56186313000,16,"Psychology
Medicine
Health Professions
Neuroscience
Social Sciences
Computer Science
",,
"Wolfson, Sandra L.",7103324290,2,"Psychology
",,
"Wolf, Susan",55512504500,4,"Social Sciences
Environmental Science
",,
"Wolf, Annabel",57219265517,2,"Multidisciplinary
Earth and Planetary Sciences
",,
"Witty, Chloe",57194897724,1,"Psychology
",,
"Withers, Carrie",24069481900,1,"Medicine
",,
"Wir-Konas, Agnieszka",57196037301,1,"Earth and Planetary Sciences
",,
"Wippich, Anna",57195589917,2,"Psychology
",,
"Wiper, Clare",57199174029,3,"Social Sciences
Psychology
Arts and Humanities
Medicine
",,
"Winters, Bethany",57479868300,1,"Social Sciences
",,
"Winter Hebron, Chris De",56959188200,3,"Social Sciences
",,
"Winter, Kate",56912918900,20,"Earth and Planetary Sciences
Environmental Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Chemistry
Agricultural and Biological Sciences
",,
"Winstanley, G. R.",7003976929,3,"Engineering
Materials Science
Environmental Science
",,
"Winship, Ian R.",23045899100,5,"Social Sciences
Multidisciplinary
Computer Science
",,
"Winship, Ian",57525419200,1,"Physics and Astronomy
Social Sciences
",,
"Winship, I. R.",7003439647,1,"Environmental Science
Earth and Planetary Sciences
",,
"Winnard, Andrew James",57193607922,25,"Medicine
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Environmental Science
Health Professions
Agricultural and Biological Sciences
Engineering
Earth and Planetary Sciences
Nursing
Materials Science
Multidisciplinary
",,
"Winn, K.",22995718400,1,"Physics and Astronomy
Social Sciences
",,
"Winlow, Simon",6506802982,62,"Social Sciences
Medicine
Arts and Humanities
Psychology
Engineering
",0000-0002-0746-9034,
"Winkworth, Ian",6507360956,6,"Social Sciences
",,
"Winder, Joyce",57028657700,1,"Social Sciences
",,
"Winckler, J. M.",7006644684,2,"Engineering
Physics and Astronomy
Materials Science
Mathematics
Computer Science
",,
"Winchester, Rachel",55419031800,1,"Neuroscience
Psychology
",,
"Win Naung, Shine",57219626406,6,"Energy
Engineering
Physics and Astronomy
Materials Science
Mathematics
",,
"Wilson-Menzfeld, Gemma",57262971900,4,"Medicine
Social Sciences
Multidisciplinary
Psychology
",,
"Wilson, Tim J.",42462650000,15,"Social Sciences
Medicine
",0000-0002-4847-0779,
"Wilson, T. D.",57080239000,1,"Social Sciences
Computer Science
",,
"Wilson, Simon M.",57481204800,1,"Computer Science
",,
"Wilson, Shelagh",57210424934,4,"Arts and Humanities
",,
"Wilson, Sharon",57195298092,7,"Social Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
",,
"Wilson, Sharon",58281658900,1,"Earth and Planetary Sciences
Environmental Science
Social Sciences
",,
"Wilson, S.",56265939300,1,"Environmental Science
Earth and Planetary Sciences
",,
"Wilson, S. R.",55470872600,1,"Social Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Psychology
Neuroscience
",,
"Wilson, Rob G.",16553786900,74,"Social Sciences
Computer Science
Business, Management and Accounting
Medicine
Engineering
Health Professions
Arts and Humanities
Economics, Econometrics and Finance
Nursing
Decision Sciences
Environmental Science
Mathematics
Psychology
Neuroscience
",0000-0003-0469-1884,
"Wilson, Leanne",55911842500,2,"Environmental Science
Earth and Planetary Sciences
Social Sciences
",,
"Wilson, John Veit",57198215811,1,"Social Sciences
",,
"Wilson, John",58095013600,1,"Social Sciences
",,
"Wilson, John",57198215657,1,"",,
"Wilson, John F.",7406643392,55,"Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
Environmental Science
Decision Sciences
",,
"Wilson, John D.",56164787600,5,"Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
",,
"Wilson, Jo",57194803243,4,"Psychology
Medicine
Social Sciences
",,
"Wilson, Jason",57195648315,1,"Medicine
Health Professions
",,
"Wilson, Gemma",57194240236,35,"Medicine
Social Sciences
Nursing
Psychology
Computer Science
Environmental Science
Arts and Humanities
Business, Management and Accounting
Multidisciplinary
Health Professions
",,
"Wilson, G. W.",24567222800,6,"Physics and Astronomy
Materials Science
",,
"Wilson, David",57481159300,1,"Computer Science
",,
"Wilson, Colin",7404896623,3,"Engineering
Social Sciences
",,
"Wilson, Chris",57854212900,1,"Arts and Humanities
",,
"Wilson, Alasdair",55458755500,7,"Engineering
Physics and Astronomy
Materials Science
Chemical Engineering
Chemistry
",,
"Wills, Samuel",57202739932,1,"Psychology
",,
"Willis, Michael",57237399100,1,"Computer Science
",,
"Willis, Malcolm S.",55164013000,2,"Engineering
Social Sciences
",,
"Willis, Bethany",58001008700,1,"Computer Science
Social Sciences
",,
"Willis, Anne",56167854200,1,"Chemistry
Social Sciences
",,
"Williamson, Karen",57193957310,1,"Social Sciences
",,
"Williamson, Eric",57927995600,3,"Medicine
Health Professions
",,
"Williamson, Cheryl",57381452000,1,"Engineering
Business, Management and Accounting
Economics, Econometrics and Finance
",,
"Williamson, C.",56754129400,1,"Materials Science
Engineering
",,
"Williams, Tony",56839461700,2,"Social Sciences
Arts and Humanities
",,
"Williams, Tony",56720697600,1,"Arts and Humanities
",,
"Williams, Robin L.",7409606737,46,"Social Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Arts and Humanities
Nursing
Psychology
Chemistry
Multidisciplinary
",,
"Williams, Rachel",57381615500,4,"Engineering
Business, Management and Accounting
Economics, Econometrics and Finance
",,
"Williams, Rachel",57189654738,1,"Social Sciences
Environmental Science
",,
"Williams, Lorraine E.",55462658100,2,"Business, Management and Accounting
Economics, Econometrics and Finance
Environmental Science
",,
"Williams, Helen",55620869400,7,"Arts and Humanities
Social Sciences
",,
"Williams, Helen",57671370200,4,"Arts and Humanities
Social Sciences
",,
"Williams, Glenn P.",57217438281,2,"Psychology
",,
"Williams, Dominic",57190312399,21,"Arts and Humanities
Social Sciences
",,
"Williams, David",57204455528,1,"Engineering
Business, Management and Accounting
",,
"Williams, D. A.",55619314784,11,"Engineering
Chemistry
Materials Science
",,
"Williams, Alexander",57206174524,1,"Decision Sciences
Social Sciences
",,
"Williams, Alex",57206174526,1,"Business, Management and Accounting
",,
"Willcox, Temple",7003510051,4,"Arts and Humanities
Social Sciences
",,
"Wilks, T. P.",57196814599,1,"Engineering
Materials Science
",,
"Wilkinson, Shaun D.",55763059200,9,"Social Sciences
Health Professions
Medicine
",,
"Wilkinson, Sarah J.",25951653100,8,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
",,
"Wilkinson, Michael",14059127700,38,"Medicine
Health Professions
Engineering
Psychology
Biochemistry, Genetics and Molecular Biology
Social Sciences
Agricultural and Biological Sciences
Mathematics
",,
"Wilkinson, Michael",58042230300,1,"Earth and Planetary Sciences
",,
"Wilkinson, Lucy",7103040382,3,"Neuroscience
Agricultural and Biological Sciences
Medicine
",,
"Wilkinson, Larry J.",57068251900,5,"Psychology
Business, Management and Accounting
Social Sciences
Computer Science
",,
"Wilkinson, Kathryn M.",50562293500,5,"Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
",,
"Wilkinson, Justine",24436877000,3,"Medicine
Environmental Science
Social Sciences
",,
"Wilkinson, Christopher",57961800900,1,"Social Sciences
Environmental Science
",,
"Wilkinson, Andrew",57195350804,1,"Psychology
",,
"Wilhelm, Eurico N.",53980613900,43,"Medicine
Biochemistry, Genetics and Molecular Biology
Health Professions
Physics and Astronomy
Social Sciences
Nursing
Neuroscience
",0000-0003-2679-0744,
"Wilding, Helen",58248365600,2,"Medicine
Social Sciences
Nursing
",,
"Wilde, Anthea",36197536900,2,"Medicine
Nursing
Neuroscience
",,
"Wilcockson, Jane",6602704664,20,"Social Sciences
Medicine
Nursing
Business, Management and Accounting
Arts and Humanities
Psychology
",,
"Wightman, Sally",57458547100,1,"Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
Social Sciences
",,
"Wightman, Emma L.",36197592100,24,"Nursing
Medicine
Agricultural and Biological Sciences
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Psychology
Health Professions
Dentistry
",,
"Wiggs, Joshua A.",57209255245,1,"Physics and Astronomy
Earth and Planetary Sciences
",,
"Wieser, Leonie",57224449018,2,"Social Sciences
Psychology
Arts and Humanities
",,
"Wienroth, Matthias",35367656900,24,"Medicine
Social Sciences
Biochemistry, Genetics and Molecular Biology
Arts and Humanities
Nursing
Environmental Science
Engineering
Business, Management and Accounting
Computer Science
Decision Sciences
",0000-0002-9722-3918,
"Wiegand, Erin",57210358165,1,"Social Sciences
Arts and Humanities
",,
"Widdrington, Helena",57210435542,1,"Psychology
",,
"Widdowfield Small, Deighton",57222541384,2,"Engineering
",,
"Wicks, Robert T.",17436001500,68,"Physics and Astronomy
Earth and Planetary Sciences
Mathematics
Engineering
Computer Science
Medicine
Social Sciences
",0000-0002-0622-5302,
"Whowell, Mary",24451485200,10,"Social Sciences
Earth and Planetary Sciences
Environmental Science
",,
"Whittington, Stephanie",55595971600,2,"Medicine
Social Sciences
Health Professions
",,
"Whittingham, Rickard",57872086800,1,"Computer Science
",,
"Whittaker, Christopher A.",7005949773,1,"Medicine
Psychology
",,
"Whitney, Bronwen S.",12802821700,37,"Earth and Planetary Sciences
Environmental Science
Agricultural and Biological Sciences
Arts and Humanities
Multidisciplinary
Social Sciences
Biochemistry, Genetics and Molecular Biology
",0000-0002-2329-9645,
"Whitfield, Ian Alan",6604050804,1,"Economics, Econometrics and Finance
",,
"Whitfield, Dexter",57209623367,1,"Social Sciences
",,
"Whiteley, Jane",57191455455,3,"Nursing
Psychology
Social Sciences
",,
"White, Rosie",55481624800,17,"Social Sciences
Arts and Humanities
Engineering
",,
"White, Patricia L.",55473093000,4,"Engineering
Physics and Astronomy
Materials Science
Chemistry
",,
"White, M.",57207191241,1,"Medicine
",,
