Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Amores-Arrocha, Herminia",57194766134,2,"Immunology and Microbiology
Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
",,
"Amos, Martyn",36726116700,67,"Computer Science
Mathematics
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
Medicine
Social Sciences
Earth and Planetary Sciences
Physics and Astronomy
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Decision Sciences
Chemical Engineering
Chemistry
",,
"Amundsen, R.",57217846578,1,"Psychology
",,
"Anastasiou, Alex",57210160808,1,"Health Professions
Medicine
",,
"Andelic, Patrick",56422169300,3,"Social Sciences
Arts and Humanities
",,
"Anderson, Derek",57200183821,1,"Arts and Humanities
Computer Science
",,
"Anderson, Emma",57208540373,8,"Computer Science
Social Sciences
Business, Management and Accounting
Engineering
Decision Sciences
Materials Science
",,
"Anderson, James F.",58165249000,1,"Social Sciences
",,
"Anderson, Jane",57189710294,5,"Business, Management and Accounting
Arts and Humanities
Social Sciences
Nursing
",,
"Anderson, Lynn",58031170800,1,"Engineering
Materials Science
Chemical Engineering
",,
"Anderson, Melissa",57198603250,1,"Psychology
",,
"Anderson, Nicole",57653397900,1,"Computer Science
Energy
Environmental Science
Social Sciences
",,
"Anderson, Philip",57205549718,6,"Computer Science
Mathematics
Social Sciences
Engineering
Decision Sciences
Materials Science
",,
"Anderson, Philip",57824546600,1,"Computer Science
",,
"Anderson, Robert",56175439500,7,"Computer Science
Social Sciences
",,
"Andrew Hedley, K.",24323936800,2,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
",,
"Angelis, Dimitrios",57195517590,9,"Earth and Planetary Sciences
Environmental Science
Physics and Astronomy
Arts and Humanities
Energy
Social Sciences
",,
"Angius, Luca",6504090010,25,"Medicine
Biochemistry, Genetics and Molecular Biology
Neuroscience
Health Professions
Immunology and Microbiology
Nursing
",,
"Anguix, Laia",57221471054,1,"Arts and Humanities
",0000-0001-8024-6673,
"Anifowose, Mutalib",57189517560,7,"Business, Management and Accounting
Social Sciences
Economics, Econometrics and Finance
Energy
",0000-0001-6264-8118,
"Anne Defeyter, Margaret",56847656300,1,"Earth and Planetary Sciences
",,
"Annesley, Sarah H.",57207962933,4,"Nursing
",0000-0001-6761-1824,
"Ansari, Rafay Iqbal",56135896300,26,"Computer Science
Engineering
Mathematics
Medicine
Decision Sciences
Physics and Astronomy
Materials Science
Social Sciences
Multidisciplinary
",,
"Ansari, S.",57198303211,2,"Computer Science
Social Sciences
",,
"Ansdell, Paul",57195920313,31,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Health Professions
Neuroscience
Agricultural and Biological Sciences
",0000-0001-7542-1107,
"Ansley, Les",23026871000,42,"Medicine
Health Professions
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Psychology
Neuroscience
",,
"Anthony, Catherine",57195154713,1,"Environmental Science
Engineering
",,
"Antolin, Patrick",24170855000,87,"Physics and Astronomy
Earth and Planetary Sciences
Engineering
Energy
Materials Science
Biochemistry, Genetics and Molecular Biology
Mathematics
Chemistry
",0000-0003-1529-4681,
"Antoniou, Antony Nicodemus",7101627262,47,"Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Medicine
Physics and Astronomy
Chemistry
Neuroscience
",,
"Antonopoulos, Georgios A.",14622210700,70,"Social Sciences
Medicine
Business, Management and Accounting
Economics, Econometrics and Finance
Arts and Humanities
Psychology
Engineering
Health Professions
",,
"Anwar, Muhammad Naveed",41860938500,15,"Computer Science
Engineering
Mathematics
Business, Management and Accounting
Medicine
Decision Sciences
Physics and Astronomy
Multidisciplinary
Environmental Science
Energy
Biochemistry, Genetics and Molecular Biology
Chemistry
",,
"Anyigor, Kelechi",55863248400,3,"Business, Management and Accounting
Engineering
Economics, Econometrics and Finance
",,
"Arana, Arantza Gomez",57202959081,6,"Social Sciences
Economics, Econometrics and Finance
",,
"Aranda-Tyrankiewicz, Marta",58064779000,1,"Social Sciences
Computer Science
Engineering
Environmental Science
",,
"Araújo, Hayslenne A.G.O.",58295939900,1,"Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
Computer Science
",,
"Arayici, Yusuf",8328617900,50,"Engineering
Computer Science
Environmental Science
Social Sciences
Energy
Arts and Humanities
Business, Management and Accounting
Earth and Planetary Sciences
Materials Science
Chemical Engineering
Chemistry
Economics, Econometrics and Finance
Decision Sciences
Physics and Astronomy
",0000-0001-5705-2272,
"Ardron, Kevin",58150416000,1,"Social Sciences
",,
"Are, Carolina",57211536779,6,"Social Sciences
Arts and Humanities
Psychology
Computer Science
",,
"Arends, Danny",55991566700,61,"Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Mathematics
Computer Science
Nursing
Veterinary
Chemistry
Environmental Science
Immunology and Microbiology
Decision Sciences
Chemical Engineering
Multidisciplinary
",0000-0001-8738-0162,
"Armitacge, John",57191758929,1,"Social Sciences
",,
"Armitage, Bethan",57217631083,1,"Social Sciences
Psychology
",,
"Armstrong, Michael",57210571502,2,"Social Sciences
",,
"Armstrong, R.",57217509193,1,"Engineering
Social Sciences
",,
"Armstrong, R.",57221615420,1,"Computer Science
Physics and Astronomy
Engineering
",,
"Armstrong, S.",57207714419,1,"Physics and Astronomy
Materials Science
",,
"Arnfield, Jane",57190785508,1,"Social Sciences
Arts and Humanities
",,
"Aroko, Daniel Omusi",57216953712,1,"Social Sciences
Engineering
Energy
",,
"Arrowsmith, Harvey",57204834304,1,"Computer Science
Engineering
Mathematics
Business, Management and Accounting
",,
"Arshed, S.",6507056935,2,"Physics and Astronomy
Engineering
",,
"Arshi, Sahar",57199259159,2,"Computer Science
Mathematics
",,
"Arteaga, Natalia Gomez",57481324000,1,"Computer Science
",,
"Arthur, Raymond",36185204300,18,"Social Sciences
Arts and Humanities
Economics, Econometrics and Finance
Psychology
",0000-0003-4454-2779,
"Artist, B. M.",6504112249,1,"Environmental Science
Earth and Planetary Sciences
",,
"Asadzadeh, Parvin",6504115868,10,"Computer Science
Engineering
Physics and Astronomy
Mathematics
Decision Sciences
",,
"Asahina, Wakana",57148146700,3,"Computer Science
Social Sciences
",,
"Asamoah-Asare, Alex K.B.",58223393900,1,"Immunology and Microbiology
Medicine
",,
"Ash, James",57196177045,1,"Social Sciences
",,
"Ashford, Chris",35336045300,45,"Social Sciences
Computer Science
Medicine
",0000-0002-3290-2602,
"Ashford, J.",7004993819,1,"Nursing
",,
"Ashley, Susan L.T.",36104955100,21,"Social Sciences
Arts and Humanities
Business, Management and Accounting
Economics, Econometrics and Finance
Environmental Science
",,
"Ashmore, Rupert",55879885400,4,"Social Sciences
Arts and Humanities
",,
"Ashrafian, Touraj",57188703111,9,"Engineering
Energy
Environmental Science
Earth and Planetary Sciences
Social Sciences
",0000-0001-9243-7071,
"Ashton, L. J.",22990741400,2,"Physics and Astronomy
",,
"Asikainen, Henna",58165183600,1,"Social Sciences
Arts and Humanities
",,
"Askew, Katie",57223242559,1,"Engineering
",,
"Aslam, Nauman",9733782200,171,"Computer Science
Engineering
Decision Sciences
Mathematics
Energy
Social Sciences
Physics and Astronomy
Medicine
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemistry
Earth and Planetary Sciences
Multidisciplinary
Neuroscience
Arts and Humanities
Chemical Engineering
Business, Management and Accounting
Psychology
Agricultural and Biological Sciences
",,
"Aslan, Nauman",57221367957,3,"Medicine
",,
"Aso, Raymond",56532522300,1,"Engineering
Business, Management and Accounting
Energy
Environmental Science
",,
"Asterling, Rhiannon",57223208731,1,"Biochemistry, Genetics and Molecular Biology
",,
"Aston, Jennifer",57191147603,6,"Arts and Humanities
Social Sciences
Business, Management and Accounting
Economics, Econometrics and Finance
",,
"Atalla, Mina",57205079286,1,"Medicine
",,
"Ateeq, Ramsha",58197754200,1,"Agricultural and Biological Sciences
Medicine
Computer Science
Biochemistry, Genetics and Molecular Biology
",,
"Atkin, Helen",14629894700,7,"Health Professions
Medicine
Agricultural and Biological Sciences
Social Sciences
",,
"Atkinson, E. R.",57197517148,2,"Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
",,
"Atkinson, Elliott",57219146939,2,"Biochemistry, Genetics and Molecular Biology
Medicine
",,
"Atkinson, Joanne",17134371500,9,"Medicine
Nursing
Social Sciences
",,
"Atkinson, Rob",57197417096,1,"Social Sciences
",,
"Atkinson, Robert John",57481961000,1,"Economics, Econometrics and Finance
Business, Management and Accounting
",,
"Atkinson, William C.M.",57218475442,1,"Medicine
",,
"Augustová, Karolína",57218712258,6,"Social Sciences
Environmental Science
Earth and Planetary Sciences
",,
"Auzeby, Marine",57190754925,2,"Computer Science
Energy
",,
"Avantaggiato-Quinn, Maria",57211542398,1,"Social Sciences
",,
"Avery, Hannah",57214332789,1,"Biochemistry, Genetics and Molecular Biology
",,
"Avner, Zoë",51461046400,8,"Social Sciences
Medicine
Business, Management and Accounting
Health Professions
Psychology
Arts and Humanities
Biochemistry, Genetics and Molecular Biology
Computer Science
",,
"Awoniyi, Segun",57361869900,1,"Computer Science
Social Sciences
Engineering
Environmental Science
",,
"Ayman, Rana",57211463239,3,"Engineering
Economics, Econometrics and Finance
Environmental Science
Social Sciences
",,
"Ayre-Storie, Adam",57565595500,1,"Computer Science
",,
"Ayton, Rebecca",57148110700,1,"Psychology
",,
"Ayub, Aishah",57208998878,1,"Environmental Science
Agricultural and Biological Sciences
",,
"Azam, Ismail",58188237600,1,"Social Sciences
",,
"Azimov, Ulugbek",6506398204,45,"Energy
Engineering
Mathematics
Chemical Engineering
Materials Science
Chemistry
Environmental Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
",0000-0003-2928-2032,
"Aziz, Abd El",56817913700,1,"Engineering
Computer Science
",,
